"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Personal protective equipment business needs","13100787",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310078701",,"CURRENT - a cube available to the public and that is current","Occasional Monthly","2020-06-01","2022-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Industry Classification System (NAICS)",,""
"3","Business characteristics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Atlantic Region","[1]","2","1","",1,
"1","Quebec","[24]","3","1","",,
"1","Ontario","[35]","4","1","",,
"1","Manitoba and Saskatchewan","","5","1","",,
"1","Alberta","[48]","6","1","",,
"1","British Columbia","[59]","7","1","",,
"1","Territories","[6]","8","1","",2,
"1","Canada","[11124]","1","","",,
"2","Elementary and secondary schools","[6111]","113","1","",,
"2","Wholesale trade","[41]","33","1","",,
"2","Retail trade","[44-45]","43","1","",,
"2","Transportation and warehousing","[T48-49]","56","1","",4,
"2","Finance and insurance","[52]","73","1","",,
"2","Real estate and rental and leasing","[53]","78","1","",,
"2","Professional, scientific and technical services","[54]","82","1","",,
"2","Management of companies and enterprises","[55]","84","1","",,
"2","Administrative and support, waste management and remediation services","[56]","86","1","",,
"2","Health care and social assistance (Private businesses only)","[T62]","89","1","",5,
"2","Arts, entertainment and recreation","[71]","99","1","",,
"2","Information and cultural industries","[51]","66","1","",,
"2","Accommodation and food services","[72]","103","1","",,
"2","Other services (except public administration","[81]","106","1","",,
"2","Agriculture, forestry, fishing and hunting","[11]","2","1","",,
"2","Mining, quarrying, and oil and gas extraction","[21]","8","1","",,
"2","Construction","[T23]","12","1","",3,
"2","Manufacturing","[31-33]","14","1","",,
"2","Crop production","[111]","3","2","",,
"2","Animal production and aquaculture","[112]","4","2","",,
"2","Forestry and logging","[113]","5","2","",,
"2","Fishing, hunting and trapping","[114]","6","2","",,
"2","Support activities for agriculture and forestry","[115]","7","2","",,
"2","Oil and gas extraction","[211]","9","8","",,
"2","Mining and quarrying (except oil and gas)","[212]","10","8","",,
"2","Support activities for mining, and oil and gas extraction","[213]","11","8","",,
"2","Construction of buildings","[236]","13","12","",,
"2","Electrical equipment, appliance and component manufacturing","[335]","29","14","",,
"2","Transportation equipment manufacturing","[336]","30","14","",,
"2","Furniture and related product manufacturing","[337]","31","14","",,
"2","Miscellaneous manufacturing","[339]","32","14","",,
"2","Textile mills","[313]","111","14","",,
"2","Petroleum and coal products manufacturing","[324]","112","14","",,
"2","Food manufacturing","[311]","15","14","",,
"2","Beverage and tobacco product manufacturing","[312]","16","14","",,
"2","Textile product mills","[314]","17","14","",,
"2","Clothing manufacturing","[315]","18","14","",,
"2","Wood product manufacturing","[321]","19","14","",,
"2","Paper manufacturing","[322]","20","14","",,
"2","Printing and related support activities","[323]","21","14","",,
"2","Chemical manufacturing","[325]","22","14","",,
"2","Plastics and rubber products manufacturing","[326]","23","14","",,
"2","Non-metallic mineral product manufacturing","[327]","24","14","",,
"2","Primary metal manufacturing","[331]","25","14","",,
"2","Fabricated metal product manufacturing","[332]","26","14","",,
"2","Machinery manufacturing","[333]","27","14","",,
"2","Computer and electronic product manufacturing","[334]","28","14","",,
"2","Farm product merchant wholesalers","[411]","34","33","",,
"2","Petroleum and petroleum products merchant wholesalers","[412]","35","33","",,
"2","Food, beverage and tobacco merchant wholesalers","[413]","36","33","",,
"2","Personal and household goods merchant wholesalers","[414]","37","33","",,
"2","Motor vehicle and motor vehicle parts and accessories merchant wholesalers","[415]","38","33","",,
"2","Building material and supplies merchant wholesalers","[416]","39","33","",,
"2","Machinery, equipment and supplies merchant wholesalers","[417]","40","33","",,
"2","Miscellaneous merchant wholesalers","[418]","41","33","",,
"2","Business-to-business electronic markets, and agents and brokers","[419]","42","33","",,
"2","Motor vehicle and parts dealers","[441]","44","43","",,
"2","Furniture and home furnishings stores","[442]","45","43","",,
"2","Electronics and appliance stores","[443]","46","43","",,
"2","Building material and garden equipment and supplies dealers","[444]","47","43","",,
"2","Food and beverage stores","[445]","48","43","",,
"2","Health and personal care stores","[446]","49","43","",,
"2","Gasoline stations","[447]","50","43","",,
"2","Clothing and clothing accessories stores","[448]","51","43","",,
"2","Sporting goods, hobby, book and music stores","[451]","52","43","",,
"2","General merchandise stores","[452]","53","43","",,
"2","Miscellaneous store retailers","[453]","54","43","",,
"2","Non-store retailers","[454]","55","43","",,
"2","Air transportation","[481]","57","56","",,
"2","Rail transportation","[482]","58","56","",,
"2","Water transportation","[483]","59","56","",,
"2","Truck transportation","[484]","60","56","",,
"2","Pipeline transportation","[486]","61","56","",,
"2","Scenic and sightseeing transportation","[487]","62","56","",,
"2","Support activities for transportation","[488]","63","56","",,
"2","Couriers and messengers","[492]","64","56","",,
"2","Warehousing and storage","[493]","65","56","",,
"2","Motion picture and sound recording industries","[512]","68","66","",,
"2","Broadcasting (except internet)","[515]","69","66","",,
"2","Telecommunications","[517]","70","66","",,
"2","Data processing, hosting, and related services","[518]","71","66","",,
"2","Other information services","[519]","72","66","",,
"2","Publishing industries","[511]","67","66","",,
"2","Credit intermediation and related activities","[522]","74","73","",,
"2","Securities, commodity contracts, and other financial investment and related activities","[523]","75","73","",,
"2","Insurance carriers and related activities","[524]","76","73","",,
"2","Funds and other financial vehicles","[526]","77","73","",,
"2","Real estate","[531]","79","78","",,
"2","Rental and leasing services","[532]","80","78","",,
"2","Lessors of non-financial intangible assets (except copyrighted works)","[533]","81","78","",,
"2","Professional, scientific and technical services","[541]","83","82","",,
"2","Management of companies and enterprises","[551]","85","84","",,
"2","Administrative and support services","[561]","87","86","",,
"2","Waste management and remediation services","[562]","88","86","",,
"2","Ambulatory health care services","[T621]","90","89","",6,
"2","Nursing and residential care facilities","[623]","96","89","",,
"2","Social assistance","[T624]","97","89","",7,
"2","Offices of physicians","[6211]","91","90","",,
"2","Offices of dentists","[6212]","92","90","",,
"2","Offices of other health practitioners","[6213]","93","90","",,
"2","Out-patient care centres","[6214]","94","90","",,
"2","Home health care services","[6216]","95","90","",,
"2","Community food and housing, and emergency and other relief services","[6242]","114","97","",,
"2","Child day-care services","[6244]","98","97","",,
"2","Performing arts, spectator sports and related industries","[711]","100","99","",,
"2","Heritage institutions","[712]","101","99","",,
"2","Amusement, gambling and recreation industries","[713]","102","99","",,
"2","Accommodation services","[721]","104","103","",,
"2","Food services and drinking places","[722]","105","103","",,
"2","Repair and maintenance","[811]","107","106","",,
"2","Personal and laundry services","[812]","108","106","",,
"2","Religious, grant-making, civic, and professional and similar organizations","[813]","109","106","",,
"2","Private households","[814]","110","106","",,
"2","All industries","","1","","",,
"3","Number of businesses that both manufacture and distribute Personal Protective Equipment (PPE)","","20","","",,
"3","Number of businesses that directly distribute Personal Protective Equipment (PPE) to individuals (patients, residents or other vulnerable members of society)","","21","","",,
"3","Estimated number of patients, residents or other vulnerable members of society to whom businesses provide Personal Protective Equipment (PPE) onsite","","22","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) onsite one month after the reference period","","23","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) onsite two months after the reference period","","24","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) onsite three months after the reference period","","25","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) onsite four months after the reference period","","26","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses provide Personal Protective Equipment (PPE) offsite","","27","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) offsite one month after the reference period","","28","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) offsite two months after the reference period","","29","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) offsite three months after the reference period","","30","","",,
"3","Estimated number of patients, residents or other vulnerable members  of society to whom businesses will provide Personal Protective Equipment (PPE) offsite four months after the reference period","","31","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from domestic producers","","32","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from international producers","","33","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from domestic wholesalers","","34","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from international wholesalers","","35","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from domestic retailers","","36","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from international retailers","","37","","",,
"3","Percentage of businesses sourcing essential Personal protective equipment (PPE) from other sources","","38","","",,
"3","Number of businesses needing Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","","1","","",,
"3","Number of businesses not needing Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","","2","","",,
"3","Number of businesses that don't know if they need Personal protective equipment (PPE) to operate in accordance with COVID-related public guidelines","","3","","",,
"3","Number of employees on payroll pre-COVID","","4","","",,
"3","Average percentage of full-time employees","","5","","",,
"3","Estimated number of employees who worked on site","","6","","",,
"3","Estimated number of employees who will work on site 1 month after reference period","","7","","",,
"3","Estimated number of employees who will work on site 2 months after reference period","","8","","",,
"3","Estimated number of employees who will work on site 3 months after reference period","","9","","",,
"3","Estimated number of employees who will work on site 4 months after reference period","","10","","",,
"3","Number of businesses involved in manufacturing Personal protective equipment (PPE)","","11","","",,
"3","Number of businesses involved in distributing Personal protective equipment (PPE)","","12","","",,
"3","Current number of employees on payroll","","13","","",,
"3","Estimated number of employees who worked off site","","14","","",,
"3","Estimated number of employees who will work off site 1 month after reference period","","15","","",,
"3","Estimated number of employees who will work off site 2 months after reference period","","16","","",,
"3","Estimated number of employees who will work off site 3 months after reference period","","17","","",,
"3","Estimated number of employees who will work off site 4 months after reference period","","18","","",,
"3","Estimated percentage of manufacturers that re-tooled","","19","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5332","Personal Protective Equipment Survey"

"Subject Code","Subject Name"
"13","Health"

"Note ID",Note
1,"Atlantic includes Newfoundland and Labrador, Prince Edward Island, Nova Scotia and New Brunswick."
2,"Territories include Yukon, Northwest Territories and Nunavut."
4,"Transportation and warehousing only includes air transportation, rail transportation, water transportation, truck transportation, pipeline transportation, scenic and sightseeing transportation, support activities for transportation, couriers and messengers and wharehousing and storage."
5,"Health care and social assistance only includes office of physicians, office of dentists, office of other health practitioners, out-patient care centres, home health care services, nursing and residential care facilities and child day-care services, and excludes organizations controlled by federal, provincial, and local government according to the Canadian Classification of Institutional Units and Sectors."
3,"Construction only includes construction of buildings."
6,"Ambulatory health care services only includes office of physicians, office of dentists, office of other health practitioners, out-patient care centres and home health care services."
7,"Social assistance only includes child day-care services."

"Correction ID","Correction Date","Correction Note"
